Model,MAE,MAPE (%),RMSE,Training Time (s),Prediction Time (s)
SARIMA,751.9651699478048,833.3935736025252,7129.084772942066,6.523461103439331,0.05512499809265137
LSTM,1156.1253662109375,3366.322998046875,7111.775868234319,695.201210975647,205.26174783706665
GRU,1244.00732421875,3844.74169921875,7112.221875054236,615.0956099033356,155.76627683639526
