Model,MAE,MAPE (%),RMSE,Training Time (s),Prediction Time (s)
SARIMA,167.39528002011272,392.0938956335264,2197.687952997354,3.391155958175659,0.03241896629333496
LSTM,196.0412139892578,546.681884765625,2197.4414667972387,391.50024604797363,122.3958592414856
GRU,193.76368713378906,534.3193359375,2197.4402153414776,633.6355271339417,125.09683203697205
