Model,MAE,MAPE (%),RMSE,Training Time (s),Prediction Time (s)
SARIMA,201.01897328410885,796.2216729274828,1963.8775184926062,5.016788959503174,0.034017086029052734
LSTM,203.93212890625,824.9337158203125,1963.8140186891426,306.09953594207764,117.41028094291687
GRU,199.7103729248047,785.4451904296875,1963.9114032970022,494.5415439605713,119.95045471191406
